Estación,Provincia,Temperatura máxima (ºC),Temperatura mínima (ºC),Temperatura media (ºC),Racha (km/h),Velocidad máxima (km/h),Precipitación 00-24h (mm),Precipitación 00-06h (mm),Precipitación 06-12h (mm),Precipitación 12-18h (mm),Precipitación 18-24h (mm)
Badajoz,Badajoz,16.6 (16:00),-1.2 (08:30),7.7,12 (13:40),6 (01:20),0,0,0,0,0
Olivenza,Badajoz,15.3 (16:50),0.3 (08:40),7.8,18 (03:10),17 (03:10),0,0,0,0,0
Alconchel,Badajoz,16.4 (17:40),1.4 (07:50),8.9,11 (04:20),7 (06:00),0,0,0,0,0
Barcarrota,Badajoz,17.8 (13:20),0.5 (06:30),9.1,15 (06:50),9 (13:30),0,0,0,0,0
Villanueva del Fresno,Badajoz,17.4 (15:50),2.8 (07:00),10.1,12 (06:10),6 (06:10),0,0,0,0,0
Monesterio,Badajoz,16.7 (13:40),5.8 (22:50),11.3,16 (03:10),11 (03:10),0,0,0,0,0
Fuente de Cantos,Badajoz,17.7 (15:30),6.5 (09:10),12.1,23 (00:20),22 (00:20),0,0,0,0,0
Jerez de los Caballeros,Badajoz,19.3 (17:20),0.3 (09:00),9.8,19 (01:30),15 (01:30),0,0,0,0,0
Fregenal de la Sierra,Badajoz,17.3 (14:10),0.3 (05:00),8.8,10 (14:30),6 (02:30),0,0,0,0,0
Azuaga,Badajoz,17.4 (14:40),4.5 (04:20),10.9,10 (02:00),8 (02:00),0,0,0,0,0
Pontons,Barcelona,14.7 (12:10),2.4 (20:30),8.5,33 (23:30),24 (23:30),0,0,0,0,0
Vilafranca del Penedès,Barcelona,16.5 (16:10),0.5 (08:30),8.5,16 (12:20),9 (12:20),0,0,0,0,0
Sitges,Barcelona,16.2 (12:20),5.2 (07:40),10.7,21 (12:40),13 (13:00),0,0,0,0,0
Barcelona Aeropuerto,Barcelona,17.3 (14:10),5.3 (07:40),11.3,33 (04:40),24 (04:40),0,0,0,0,0
Berga,Barcelona,12.9 (15:50),2.5 (23:59),7.7,17 (06:50),10 (04:10),0,0,0,0,0
Balsareny,Barcelona,13.9 (15:40),-2.9 (08:30),5.5,12 (16:20),9 (16:10),0,0,0,0,0
Prats de Lluçanès,Barcelona,13.2 (15:20),-0.3 (06:20),6.4,15 (14:00),8 (14:00),0,0,0,0,0
Moià,Barcelona,13.7 (13:20),3.8 (23:59),8.7,14 (13:40),8 (13:40),0,0,0,0,0
Manresa,Barcelona,13.9 (16:20),-1.9 (09:10),6,15 (18:30),8 (18:30),0,0,0,0,0
Monistrol de Montserrat,Barcelona,11.5 (02:50),6.8 (22:40),9.2,,,0,0,0,0,0
